hindi question,marwari answer,Category
नमस्ते,राम राम,General 
आप कैसे हैं?,थां केसो हो?,General 
मेरा नाम रीना है,म्हारो नांव रीना है,General 
आपका नाम क्या है?,थारो नांव काइं है?,General 
मैं ठीक हूँ,हूं ठीक हूँ,General 
धन्यवाद,धन्यवाद,General 
मुझे डॉक्टर चाहिए,म्हानै डाक्टर चाही,General 
डॉक्टर कहाँ है?,डाक्टर किथे है?,General 
मुझे दवा चाहिए,म्हानै दवाई चाही,General 
आपकी तबीयत कैसी है?,थारी तबीयत केसी है?,General 
बुखार है क्या?,बुखार है के?,General 
मुझे बुखार है,म्हानै बुखार है,General 
यह दवा कितनी बार लेनी है?,ई दवाई किन्नी वार लेनी है?,General 
मुझे पानी दो,म्हानै पाणी देजो,General 
खाना तैयार है?,खावण तैयार है?,General 
आपकी उम्र कितनी है?,थारी उमर किन्नी है?,General 
आपको आराम करना चाहिए,थानै आराम करनो चाही,General 
आपका परिवार कैसा है?,थारो कुटुम्ब केसो है?,General 
मुझे हॉस्पिटल जाना है,म्हानै अस्पताल जावणो है,General 
मैं थक गया हूँ,हूं थक गयो हूँ,General 
क्या आप मेरी मदद करेंगे?,थूं म्हारी मदद करसी?,General 
मैं ठीक महसूस नहीं कर रहा,हूं ठीक महसूस नीं कर रियो,General 
मुझे खांसी है,म्हानै खांसी है,General 
मुझे सांस लेने में दिक्कत है,म्हानै सांस लेवण में तकलीफ है,General 
आपको किस चीज़ से एलर्जी है?,थानै कोणसी चीज़ सूं एलर्जी है?,General 
क्या आप गर्भवती हैं?,थूं पेट सूं हो?,General 
मुझे सिरदर्द है,म्हानै मथो दुखे है,General 
मुझे उल्टी आ रही है,म्हानै उल्टी आ री है,General 
आपको डॉक्टर से मिलना चाहिए,थानै डाक्टर सूं मिलणो चाही,General 
यहाँ कोई क्लिनिक है?,ईंया कोई दवाखानो है?,General 
बुखार आने पर क्या करें?,बुखार आवे तो आराम करो अर डॉक्टर सूं संपर्क करो।,prevent disease
मासिक धर्म के दौरान सफाई क्यों जरूरी है?,मासिक धर्म में सफाई राखण जरूरी है जिकां शरीर साफ रहे और इंफेक्शन न होवे।,mensuration hygiene
हाथ धोना कब जरूरी होता है?,"हाथ धोनो हर बार जरूरी है जद खाणे पीण लागो, टॉयलेट सूं पाछो आओ या बाहर सूं आओ।",hygiene
गंदा पानी पीने से कौन-कौन सी बीमारियाँ होती हैं?,"गंदो पानी पीण सूं पेट खराब होवे, टाइफाइड आ साके, या पीलिया।",disease prevention
मच्छर से बचाव कैसे करें?,मच्छर सूं बचण खातर मच्छरदानी काम में लेवो अर आसपास पानी इकट्ठो मत होण देवो।,disease prevention
क्यों हमें साबुन से नहाना चाहिए?,साबण सूं नहाणे सूं शरीर साफ रहवे अर बीमारियां दूर रहें।,hygiene
क्या रोज़ दांत साफ़ करना ज़रूरी है?,"हां, रोज दांत साफ करवा जरूरी है जिकां दांत मजबूत रहें अर कीड़े ना लागे।",hygiene
साफ पानी कैसे स्टोर करें?,साफ पानी ढक्कण वाली बाल्टी में राखो अर रोज ढक्कण लगावो।,hygiene
गर्भावस्था में क्या सावधानी रखनी चाहिए?,"गर्भावस्था में साफ-सफाई राखणी, पौष्टिक खाना खाणो अर डॉक्टर की सलाह लेणी।",mensuration health
बच्चों को दस्त क्यों लगते हैं?,बच्चा गंदगी में खेले या गंदा पानी पीवे तो दस्त लाग सके।,disease prevention
कचरा कहाँ फेंकना चाहिए?,"कचरा हमेशा डस्टबिन में फैंको, इधर-उधर मत फैंको।",hygiene
